z,fgas,logM*,SFR,gas tracer,study,Is fgas an upper limit,logMgas
0.03612,0.0101,11.08,0.22,CO(1-0),Saintonge et al. (2017),1,9.0844
0.03619,0.2658,10.32,10.04,CO(1-0),Saintonge et al. (2017),0,9.7446
0.03629,0.0309,10.32,0.03,CO(1-0),Saintonge et al. (2017),1,8.8103
0.03633,0.1364,10.6,3.44,CO(1-0),Saintonge et al. (2017),0,9.7347
0.03644,0.0526,10.18,0.02,CO(1-0),Saintonge et al. (2017),1,8.9012
0.03664,0.0204,11.02,1.84,CO(1-0),Saintonge et al. (2017),0,9.3298
0.03665,0.0101,10.84,0.06,CO(1-0),Saintonge et al. (2017),1,8.8444
0.03667,0.0204,10.76,0.19,CO(1-0),Saintonge et al. (2017),1,9.0698
0.03671,0.0204,10.88,0.68,CO(1-0),Saintonge et al. (2017),0,9.1898
0.03672,0.0309,10.48,0.02,CO(1-0),Saintonge et al. (2017),1,8.9703
0.03676,0.087,10.56,2.64,CO(1-0),Saintonge et al. (2017),0,9.4993
0.03681,0.1494,10.77,4.72,CO(1-0),Saintonge et al. (2017),0,9.9444
0.03695,0.0204,10.39,0.06,CO(1-0),Saintonge et al. (2017),1,8.6998
0.03702,0.0101,11.09,0.15,CO(1-0),Saintonge et al. (2017),1,9.0944
0.03705,0.0204,11.09,1.57,CO(1-0),Saintonge et al. (2017),0,9.3998
0.03721,0.0309,10.5,0.16,CO(1-0),Saintonge et al. (2017),1,8.9903
0.03725,0.0753,10.17,2.11,CO(1-0),Saintonge et al. (2017),0,9.0466
0.03747,0.1111,10.08,2.19,CO(1-0),Saintonge et al. (2017),0,9.1258
0.0375,0.0526,10.25,0.23,CO(1-0),Saintonge et al. (2017),1,8.9712
0.03756,0.0638,11.03,4.8,CO(1-0),Saintonge et al. (2017),0,9.835
0.0376,0.013894,10.882,0.001654,CO(1-0),Saintonge et al. (2017),1,9.0248
0.03776,0.0101,11.09,0.34,CO(1-0),Saintonge et al. (2017),1,9.0944
0.03793,0.0101,11.08,0.79,CO(1-0),Saintonge et al. (2017),1,9.0844
0.03797,0.0417,10.25,1.45,CO(1-0),Saintonge et al. (2017),0,8.8698
0.03801,0.0638,10.16,1.87,CO(1-0),Saintonge et al. (2017),0,8.965
0.03802,0.0309,10.37,0.66,CO(1-0),Saintonge et al. (2017),1,8.8603
0.03804,0.0204,10.73,0.15,CO(1-0),Saintonge et al. (2017),0,9.0398
0.03827,0.1905,10.55,9.75,CO(1-0),Saintonge et al. (2017),0,9.8298
0.03828,0.2346,10.45,11.65,CO(1-0),Saintonge et al. (2017),0,9.8203
0.0384,0.0989,10.05,3.47,CO(1-0),Saintonge et al. (2017),0,9.0452
0.03853,0.1628,10.38,2.89,CO(1-0),Saintonge et al. (2017),0,9.5916
0.03855,0.0309,10.35,1.1,CO(1-0),Saintonge et al. (2017),0,8.8403
0.03855,0.0204,11.12,1.6,CO(1-0),Saintonge et al. (2017),1,9.4298
0.03896,0.0526,10.24,0.35,CO(1-0),Saintonge et al. (2017),1,8.9612
0.03917,0.0101,11.35,0.64,CO(1-0),Saintonge et al. (2017),1,9.3544
0.0392,0.0638,10.11,4.16,CO(1-0),Saintonge et al. (2017),0,8.915
0.03922,0.0417,10.41,0,CO(1-0),Saintonge et al. (2017),1,9.0298
0.03927,0.0204,10.67,0.84,CO(1-0),Saintonge et al. (2017),0,8.9798
0.03928,0.0204,10.63,0.06,CO(1-0),Saintonge et al. (2017),1,8.9398
